Metric,Oseti,bert-finetuned-japanese-sentiment,japanese-sentiment-analysis,finance-sentiment-ja-base
Precision,0.5849390254074704,0.36062704524165784,0.23074772886093642,0.6571988909176979
Recall,0.5911949685534591,0.34591194968553457,0.4088050314465409,0.4528301886792453
F1,0.5771183434109691,0.3284116768393498,0.2899288315127441,0.3059548534932475
