,Author (English),Author (Japanese),Gender,Title,Text Length (in characters),Overall Sentiment,Overall Sentiment Normalized,Direct Speech Sentiment,Direct Speech Sentiment Normalized,Author's Speech Sentiment,Author's Speech Sentiment Normalized
61,Katsura Yoshihisa,桂 芳久,M,火と碑,8357,0.07105263157894737,0.006766099069198988,0.06989247311827956,0.015585199840666388,0.06838810641627543,0.007202118244398139
62,Kawakami Sokun,川上宗薫,M,残存者,23128,-0.18769338959212378,-0.010912954582506572,-0.06666666666666667,-0.015713484026367724,-0.20038580246913582,-0.012008620500575452
63,Kokubo Hitoshi,小久保 均,M,夏の刻印,36293,-0.02146392181326679,-0.001023734521772218,-0.03193912616593029,-0.0024035196258248605,-0.015615299010132958,-0.0008986929008454105
64,Kora Chihoko,古浦 千穂子,F,風化の底,17900,-0.10948813982521848,-0.00751286742002083,0.009855072463768115,0.0014666470088791346,-0.13079222720478326,-0.009820901934907034
65,Kurita Tohei,栗田 藤平,M,青銅色の闇,32422,-0.14907573871755866,-0.006663973099262732,-0.0024509803921568627,-0.0003681074811189404,-0.15906670685151697,-0.0072920422913899646
66,Kyo Kusao,峡 草夫,M,どくだみ草,14247,-0.13670886075949368,-0.010277344762357385,-0.12903225806451613,-0.02633859938476536,-0.13742559523809525,-0.010456706422645182
67,Mikawa Kiyo,美川 きよ,F,あの日のこと,6792,-0.16116522366522368,-0.020398700033248233,0.24074074074074073,0.08452971741942764,-0.2031949531949532,-0.026527569838105065
68,Nakai Masafumi,中井 正文,M,名前のない男,25099,-0.055267449445531636,-0.0036696971142587366,-0.3333333333333333,-0.3333333333333333,-0.050701239399869535,-0.0033517609984332597
69,Nakamoto Takako,中本 たか子,F,死の鞭と光,29861,-0.0662750626566416,-0.0035800054172966567,-0.037037037037037035,-0.003972055585573124,-0.08248143294014854,-0.004990801386471112
70,Nakayama Shiro,中山 士朗,M,死の影,34273,-0.2057824352322734,-0.01016513597428956,-0.16744186046511628,-0.018032437472259466,-0.2084318946477594,-0.011342474994984217
71,Nakazato Kisho,中里 喜昭,M,黄葵,7971,-0.06366120218579235,-0.006247970514594866,-0.07407407407407407,-0.0261891400439462,-0.06096096096096096,-0.006163720092313161
72,Natsubori Masamoto,夏堀 正元,M,聖地の女,17526,0.003390219286173043,0.00022538342704518622,-0.0012467191601049869,-0.00012369294650675845,0.01504956931578092,0.0012344952377108336
73,Nishihara Kei,西原 啓,M,焦土,38499,-0.20567196778376903,-0.008446844481185104,-0.09523809523809523,-0.00951324511731467,-0.2249409357680733,-0.010100281196013364
74,Ochi Michio,越智 道雄,M,遺贈された生活,49832,-0.12129175692623419,-0.005314253548706223,0.028903654485049834,0.0034339696453013443,-0.13266140812153082,-0.006015611224303455
75,Oda Katsuzo,小田 勝造,M,同窓会は夏に,22558,-0.05787700084245998,-0.003277451235891614,0.01606425702811245,0.0015457838532520099,-0.10768882858435097,-0.007418274327933357
76,Oda Makoto,小田 実,M,HIROSHIMA 1,188587,0.00888203237128931,0.00022125972910401218,-0.006240487062404871,-0.00027763359179100097,0.018830391194823663,0.0005306588963537884
77,Oda Makoto,小田 実,M,HIROSHIMA 2,6730,-0.12389455782312925,-0.015233801041406782,0.06451612903225806,0.02633859938476536,-0.1559047619047619,-0.019938103134629473
78,Oda Makoto,小田 実,M,HIROSHIMA 3,46519,-0.05321927262070204,-0.0027482447069039086,-0.03278688524590164,-0.0024764908711005277,-0.08652824732901783,-0.0059518896149452155
79,Oe Kenzaburo,大江 健三郎,M,ヒロシマ・ノ—卜 1,26348,-0.038105870737449685,-0.002197598848072547,0.0,,-0.038105870737449685,-0.002197598848072547
80,Oe Kenzaburo,大江 健三郎,M,ヒロシマ・ノ—卜 2,14429,-0.0791746915216303,-0.007031741121932977,0.0,,-0.0791746915216303,-0.007031741121932977
81,Oe Kenzaburo,大江 健三郎,M,ヒロシマ・ノ—卜 3,12206,-0.27251046883399827,-0.026688395706461365,0.0,,-0.2719082622547969,-0.026743665631402094
82,Oe Kenzaburo,大江 健三郎,M,ヒロシマ・ノ—卜 4,13870,-0.00308434484905073,-0.0002667853732564595,-1.0,-0.5773502691896258,-0.003476501711795828,-0.00030058195096094396
83,Oe Kenzaburo,大江 健三郎,M,ヒロシマ・ノ—卜 5,12047,-0.21363116363116363,-0.02056927955016013,0.0,,-0.21363116363116363,-0.02056927955016013
84,Oe Kenzaburo,大江 健三郎,M,ヒロシマ・ノ—卜 6,23006,-0.07901551226551226,-0.005937796875452009,-0.12,-0.05345224838248487,-0.07584452116097685,-0.005744433059294132
85,Oe Kenzaburo,大江 健三郎,M,ヒロシマ・ノ—卜 7,10434,-0.1320021645021645,-0.012992492891873647,-0.25757575757575757,-0.05576678736490703,-0.12461048935703313,-0.012509734290345286
86,Oe Kenzaburo,大江 健三郎,M,核状況のカナリア理論,15792,-0.0027844354024611534,-0.0002717248880073397,-0.2046783625730994,-0.03729997521592551,0.016701475912002228,0.0016586941066913787
87,Ota Yoko,大田 洋子,F,たましいの後遺症,2786,-0.31296296296296294,-0.05157795972836754,-0.6521739130434783,-0.16839058026988768,-0.23681592039800994,-0.04147932701675354
88,Ota Yoko,大田 洋子,F,ほたる 「H市歴訪」のうち,18786,-0.05824767498776309,-0.0039221084118902195,0.006172839506172839,0.0006935239687714242,-0.09084249084249084,-0.007489732311124701
89,Ota Yoko,大田 洋子,F,わが小説『山上』,1403,-0.3010752688172043,-0.07745097393532657,0.0,,-0.2777777777777778,-0.07394637578467615
90,Ota Yoko,大田 洋子,F,ヒ力ドンはごめんだ!,6446,-0.18349867724867724,-0.021872379790458404,-0.5,-0.5,-0.17238756613756614,-0.020419440059052444
91,Ota Yoko,大田 洋子,F,創作態度,1500,-0.05634920634920635,-0.023126054363923607,0.26666666666666666,0.15118578920369088,-0.09608843537414966,-0.04059121726632748
92,Ota Yoko,大田 洋子,F,原子爆弾,2113,-0.2942028985507246,-0.04796432223597941,-0.3474576271186441,-0.0618262445600449,0.11764705882352941,0.041594516540385144
93,Ota Yoko,大田 洋子,F,原爆詩人の死,1099,-0.12688172043010754,-0.03322669941326156,0.0,,-0.13111111111111112,-0.03433425606037028
94,Ota Yoko,大田 洋子,F,受診証がふしぎでならない,812,-0.15,-0.04271210980886245,0.0,,-0.15,-0.04271210980886245
95,Ota Yoko,大田 洋子,F,屍の街 序(冬芽書房版),3533,-0.24113756613756615,-0.037487401511439575,-1.0,-0.3779644730092272,-0.18558201058201057,-0.02972143267658536
