Metric,Oseti,VADER,bert-finetuned-japanese-sentiment,japanese-sentiment-analysis,finance-sentiment-ja-base
Precision,0.5771428571428572,0.6208889871738169,0.5755131845841784,0.15032967032967032,0.7587628865979381
Recall,0.56,0.57,0.39,0.22,0.55
F1,0.550859199280252,0.5746984126984127,0.4287125220458553,0.15988293396744102,0.41930929543787193
